OBJECTID_1,WorldID,Zone_Name,World,Adm4ID,Adm3ID,Adm2ID,Adm1ID,CntyID,Levels,Adm4_Name,Adm3_Name,Adm2_Name,Adm1_Name,Cnty_Name,Composite,NoOmegaZon,GMI_Name,India_Dist,India_Stat,RegionYWAM,Shape_CenX,Shape_CenY,Shape_minx,Shape_miny,Shape_maxx,Shape_maxy,GlobalID,FieldYWAM,Shape_Leng,Shape_Area,Shape_Le_1,Shape_Ar_1,Name,GMI_ID,Population,OBJECTID,Shape_Labe,Shape_La_1,XCoor,YCoor,Cnty_Nam_1,Adm1_Nam_1,WorldID_1,Populati_1,WorldABC,AdultPerce,Life_Expec,Adult_Lite,HDI,HSI,Access_Wat,AC,Evangelize,GCC,Christian_,Response,Offers,HIV,Under_5_Mo,SLNI,SLNIxPop,SLNIxPop2,BLNI,BLNIxPop,BLNIxPop2,THNI,UUPG_Count,THNIxPop2,THNIxPop4,THNIxPop,ShorthandL,LabelSize,PIPA_AR,PIPA_CNT
0,CHN-TIA-TSH-DON,Dongli Qu,A,,CHN-TIA-TSH-DON,CHN-TIA-TSH,CHN-TIA,CHN,3,,Dongli Qu,Tianjin Shi Shixiaqu,Tianjin Municipality,China,0,0,,,,East Asia Region,117.40497573000,39.13386241000,117.22595002000,39.00814985000,117.55804986000,39.24034985000,{0189F23B-BC3A-4FDF-A74A-9A0F28B02AB7},Asia and Pacific Field,0.97454426043,0.05029042718,0.00000000000,0.00000000000,,,189789.00000000000,1235,117.39199994000,39.13775385000,117.40497573500,39.13386241110,China,Tianjin Municipality,CHN-TIA-TSH-DON,189789.000000,A,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.020000,0.470000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,84.278278,60.974032,47.403687,22.969175,19.104955,16.639738,43.997756,0.000000,33.972415,27.877050,38.306071,,Small,0.05029042718,1
0,CHN-TIA-TSH-HAN,Hangu Qu,A,,CHN-TIA-TSH-HAN,CHN-TIA-TSH,CHN-TIA,CHN,3,,Hangu Qu,Tianjin Shi Shixiaqu,Tianjin Municipality,China,0,0,,,,East Asia Region,117.88213839000,39.24050337000,117.71545010000,39.14915006000,118.07324986000,39.32635022000,{FF796911-327B-4F59-8157-3E906A0DC19A},Asia and Pacific Field,0.91791155541,0.03759139818,0.00000000000,0.00000000000,,,524151.00000000000,1236,117.89434998000,39.25575524000,117.88213839300,39.24050336550,China,Tianjin Municipality,CHN-TIA-TSH-HAN,524151.000000,A,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.020000,0.470000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,84.278278,69.229802,59.409148,22.969175,22.088820,21.450768,43.997756,0.000000,38.900138,35.404229,41.188963,,Small,0.03759139818,1
0,CHN-TIA-TSH-JIN,Jinnan Qu,A,,CHN-TIA-TSH-JIN,CHN-TIA-TSH,CHN-TIA,CHN,3,,Jinnan Qu,Tianjin Shi Shixiaqu,Tianjin Municipality,China,0,0,,,,East Asia Region,117.37952912000,38.96361412000,117.22914980000,38.83744999000,117.55214985000,39.08614985000,{ECEB5B19-94D6-46A9-8447-A293DA259B24},Asia and Pacific Field,0.99062073072,0.04465913133,0.00000000000,0.00000000000,,,359231.00000000000,1237,117.39065005000,38.95694515000,117.37952912300,38.96361411910,China,Tianjin Municipality,CHN-TIA-TSH-JIN,359231.000000,A,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.020000,0.470000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,84.278278,66.036305,54.624883,22.969175,20.928212,19.517410,43.997756,0.000000,36.989074,32.392724,40.092272,,Small,0.04465913133,1
0,CHN-TIA-TSH-TAN,Tanggu Qu,A,,CHN-TIA-TSH-TAN,CHN-TIA-TSH,CHN-TIA,CHN,3,,Tanggu Qu,Tianjin Shi Shixiaqu,Tianjin Municipality,China,0,0,,,,East Asia Region,117.63227089000,39.01181262000,117.50564996000,38.74295013000,117.82135021000,39.20225008000,{B94898F2-4A69-4C92-9E9D-6FAE1981FC09},Asia and Pacific Field,1.54238345501,0.07332113412,0.00000000000,0.00000000000,,,341935.00000000000,1238,117.66350031000,39.04836798000,117.63227088800,39.01181262070,China,Tianjin Municipality,CHN-TIA-TSH-TAN,341935.000000,A,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.020000,0.470000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,84.278278,65.630238,54.029163,22.969175,20.781202,19.278118,43.997756,0.000000,36.746510,32.018801,39.951210,,Small,0.07332113412,1
0,CHN-TIA-TSH-TIA,Tianjin Shi Shixiaqu,A,,CHN-TIA-TSH-TIA,CHN-TIA-TSH,CHN-TIA,CHN,3,,Tianjin Shi Shixiaqu,Tianjin Shi Shixiaqu,Tianjin Municipality,China,0,0,,,,East Asia Region,117.19332657000,39.13050614000,117.10325011000,39.06554998000,117.29474995000,39.19774987000,{5DFE79CB-5E39-4EF2-A8AC-734E48A426D9},Asia and Pacific Field,0.52254689989,0.01648577194,0.00000000000,0.00000000000,,,413715.00000000000,1239,117.19900003000,39.13071935000,117.19332656800,39.13050614300,China,Tianjin Municipality,CHN-TIA-TSH-TIA,413715.000000,A,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.020000,0.470000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,84.278278,67.212291,56.366211,22.969175,21.354687,20.218738,43.997756,0.000000,37.692111,33.487094,40.498711,,Small,0.01648577194,1
0,CHN-TIA-TSH-XIQ,Xiqing Qu,A,,CHN-TIA-TSH-XIQ,CHN-TIA-TSH,CHN-TIA,CHN,3,,Xiqing Qu,Tianjin Shi Shixiaqu,Tianjin Municipality,China,0,0,,,,East Asia Region,117.11503024000,39.03195593000,116.90124980000,38.83364990000,117.32374994000,39.18254998000,{C48A2D20-0420-4A77-8F90-03DE2100DAF7},Asia and Pacific Field,1.22885145960,0.05642892574,0.00000000000,0.00000000000,,,346910.00000000000,1240,117.11250009000,39.07071299000,117.11503024200,39.03195593420,China,Tianjin Municipality,CHN-TIA-TSH-XIQ,346910.000000,A,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.020000,0.470000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,84.278278,65.748847,54.202872,22.969175,20.824129,19.347860,43.997756,0.000000,36.817350,32.127810,39.992452,,Small,0.05642892574,1
0,CHN-YUN-BAO,Baoshan Diqu,B,,,CHN-YUN-BAO,CHN-YUN,CHN,2,,,Baoshan Diqu,Yunnan Province,China,0,0,,,,East Asia Region,98.97502156000,24.98109040000,98.08904991000,24.12154998000,100.04954990000,25.86205018000,{6967457E-CFA4-4AC8-9B4B-710B8FF145DB},Asia and Pacific Field,8.10642470975,1.70777073876,0.00000000000,0.00000000000,,,2683739.00000000000,1241,99.06930013000,24.86787485000,98.97502155530,24.98109040000,China,Yunnan Province,CHN-YUN-BAO,2683739.000000,B,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.060000,0.590000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,75.623101,70.818431,67.293524,22.969175,25.263556,27.133530,41.677335,0.000000,42.071870,42.376092,41.888231,,Medium,1.70777073876,2
0,CHN-YUN-CHU,Chuxiong Yizu Zizhizhou,B,,,CHN-YUN-CHU,CHN-YUN,CHN,2,,,Chuxiong Yizu Zizhizhou,Yunnan Province,China,0,0,,,,East Asia Region,101.57640275000,25.34944931000,100.72705011000,24.22934992000,102.49635019000,26.49685012000,{D3666BAC-23CB-4FA5-BEAF-52A77F27D12B},Asia and Pacific Field,9.07499432141,2.55974192159,0.00000000000,0.00000000000,,,2888537.00000000000,1242,101.61170015000,25.27621292000,101.57640275200,25.34944931220,China,Yunnan Province,CHN-YUN-CHU,2888537.000000,B,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.060000,0.590000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,75.623101,71.472423,68.402272,22.969175,25.530364,27.636989,41.677335,0.000000,42.486423,43.115720,42.108840,,Medium,2.55974192159,4
0,CHN-YUN-DAL,Dali Baizu Zizhizhou,B,,,CHN-YUN-DAL,CHN-YUN,CHN,2,,,Dali Baizu Zizhizhou,Yunnan Province,China,0,0,,,,East Asia Region,100.03983738000,25.72834928000,98.86314989000,24.66905004000,101.04044989000,26.69604995000,{80793215-ED05-4AB4-894C-0911DC24CB36},Asia and Pacific Field,10.14625762580,2.53963972377,0.00000000000,0.00000000000,,,3785361.00000000000,1243,99.95179989000,25.88643259000,100.03983738300,25.72834927630,China,Yunnan Province,CHN-YUN-DAL,3785361.000000,B,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.060000,0.590000,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,75.623101,73.929400,72.638345,22.969175,26.535827,29.569778,41.677335,0.000000,44.046096,45.947944,42.930020,,Medium,2.53963972377,2
0,CHN-GUD-GUA-GUA,Guangzhou Shi Shixiaqu,B,,CHN-GUD-GUA-GUA,CHN-GUD-GUA,CHN-GUD,CHN,3,,Guangzhou Shi Shixiaqu,Guangzhou Shi,Guangdong Province,China,0,0,,,,East Asia Region,113.36212270000,23.23052628000,113.13184988000,23.02975011000,113.58455015000,23.42595002000,{3DF06C35-0E64-4C1C-A399-69A3373BCA36},Asia and Pacific Field,2.32590292953,0.12159012995,0.00000000000,0.00000000000,,,4838599.00000000000,1244,113.35820024000,23.23546867000,113.36212269900,23.23052627780,China,Guangdong Province,CHN-GUD-GUA-GUA,4838599.000000,B,0.781600,72.000000,0.820000,63.000000,39.000000,0.900000,0.044000,0.553800,0.075800,79.600000,185.000000,21.000000,0.000700,31.000000,76.689429,77.172863,77.550973,22.969175,27.482926,31.441347,41.970143,0.000000,45.788615,48.941405,43.974366,,Small,0.12159012995,1
